#data	  chr	  cov	realignment	whds	     merge	     rds	bal.time/time	   time	bal.time	    mem	bal.mem	swer[%]	bal.swer[%]	swer	bal.swer	bal.swer/swer	
 ashk	chr21	cov15	  realigned	 h25	no_merging	no_downs	     0.657873	2230.28	 1467.24	1283028	1283668	  0.54%	      0.52%	  46	      44	     0.956522	
  sim	chr21	cov15	  realigned	 h25	no_merging	no_downs	     0.660001	2980.42	 1967.08	1373256	1373900	  0.00%	      0.01%	   0	       1	            1	
 ashk	 chr1	cov15	        raw	  hN	no_merging	     m25	       0.6671	5929.98	 3955.89	 918868	 921404	  0.96%	      1.01%	 437	     458	      1.04805	
  sim	chr21	cov15	        raw	 h25	no_merging	no_downs	     0.667363	2752.07	 1836.63	1035936	1039444	  0.12%	      0.15%	  10	      13	          1.3	
 ashk	chr21	cov15	  realigned	  hN	no_merging	     m25	     0.673049	3667.37	 2468.32	2441208	2441588	  0.53%	      0.52%	  45	      44	     0.977778	
 ashk	chr21	cov15	        raw	  hN	no_merging	     m25	        0.674	2877.67	 1939.55	1749720	1754300	  0.84%	      0.99%	  72	      85	      1.18056	
  sim	chr21	cov15	  realigned	  hN	no_merging	     m25	     0.679155	5050.63	 3430.16	1528188	1529088	  0.00%	      0.01%	   0	       1	            1	
 ashk	 chr1	cov15	  realigned	  hN	no_merging	     m25	     0.687118	7217.60	 4959.34	1336924	1338428	  0.25%	      0.28%	 115	     128	      1.11304	
  sim	chr21	cov15	        raw	  hN	no_merging	     m25	     0.687233	3636.19	 2498.91	1527068	1527880	  0.13%	      0.19%	  11	      16	      1.45455	
  sim	 chr1	cov15	  realigned	  hN	no_merging	     m25	     0.694557	5949.91	 4132.55	1482060	1482312	  0.05%	      0.07%	  23	      32	       1.3913	
  sim	 chr1	cov15	  realigned	 h25	no_merging	no_downs	      0.69537	4436.79	 3085.21	 796032	 796208	  0.05%	      0.07%	  23	      32	       1.3913	
 ashk	 chr1	cov15	  realigned	 h25	no_merging	no_downs	     0.697044	4957.49	 3455.59	 672420	 672632	  0.25%	      0.28%	 115	     129	      1.12174	
 ashk	 chr1	cov15	        raw	 h25	no_merging	no_downs	     0.701036	4487.03	 3145.57	 561324	 561992	  0.96%	      1.01%	 439	     461	      1.05011	
