                #dataset	m_sw[%]	m_ham[%]	r_sw[%]	r_ham[%]	wh_sw[%]	wh_ham[%]	
 ashk.chr1.cov15.raw.m15	   1.00	    4.43	   0.97	    4.30	    1.01	     4.07	
 ashk.chr1.cov15.raw.m20	   1.00	    4.25	   0.96	    4.23	    1.02	     4.03	
 ashk.chr1.cov15.rea.m15	   0.25	    1.68	   0.25	    1.68	    0.28	     2.03	
 ashk.chr1.cov15.rea.m20	   0.25	    1.67	   0.25	    1.67	    0.28	     2.02	
 ashk.chr1.cov20.raw.m15	   0.72	    3.20	   0.67	    3.25	    0.69	     2.92	
 ashk.chr1.cov20.raw.m20	   0.68	    2.82	   0.64	    2.77	    0.68	     2.96	
 ashk.chr1.cov20.rea.m15	   0.24	    1.49	   0.25	    1.54	    0.25	     1.63	
 ashk.chr1.cov20.rea.m20	   0.25	    1.61	   0.25	    1.61	    0.24	     1.55	
 ashk.chr1.cov25.raw.m15	   0.64	    2.59	   0.62	    2.52	    0.62	     2.44	
 ashk.chr1.cov25.raw.m20	   0.63	    2.07	   0.57	    2.03	    0.59	     2.38	
 ashk.chr1.cov25.rea.m15	   0.23	    1.12	   0.23	    0.97	    0.23	     1.17	
 ashk.chr1.cov25.rea.m20	   0.23	    1.04	   0.23	    1.04	    0.23	     1.16	
 ashk.chr1.cov30.raw.m15	   0.65	    3.00	   0.60	    3.23	    0.59	     3.08	
 ashk.chr1.cov30.raw.m20	   0.57	    2.85	   0.52	    3.19	    0.55	     2.95	
 ashk.chr1.cov30.rea.m15	   0.24	    1.56	   0.25	    1.75	    0.25	     1.66	
 ashk.chr1.cov30.rea.m20	   0.24	    1.63	   0.24	    1.62	    0.24	     1.74	
 ashk.chr1.cov40.raw.m15	   0.56	    3.80	   0.54	    3.39	    0.52	     3.42	
 ashk.chr1.cov40.raw.m20	   0.52	    3.22	   0.49	    3.14	    0.47	     3.08	
 ashk.chr1.cov40.rea.m15	   0.24	    1.71	   0.25	    1.71	    0.24	     1.79	
 ashk.chr1.cov40.rea.m20	   0.24	    1.71	   0.25	    1.80	    0.24	     1.76	
 ashk.chr1.cov50.raw.m15	   0.57	    3.25	   0.50	    2.85	    0.50	     3.30	
 ashk.chr1.cov50.raw.m20	   0.50	    3.06	   0.46	    3.16	    0.48	     3.09	
 ashk.chr1.cov50.rea.m15	   0.24	    1.59	   0.24	    1.50	    0.24	     1.65	
 ashk.chr1.cov50.rea.m20	   0.24	    1.59	   0.25	    1.66	    0.24	     1.65	
 ashk.chr1.cov60.raw.m15	   0.55	    3.45	   0.50	    3.30	    0.48	     3.10	
 ashk.chr1.cov60.raw.m20	   0.47	    2.77	   0.44	    3.25	    0.44	     3.16	
 ashk.chr1.cov60.rea.m15	   0.22	    1.54	   0.22	    1.44	    0.23	     1.79	
 ashk.chr1.cov60.rea.m20	   0.23	    1.58	   0.23	    1.52	    0.23	     1.82	
ashk.chr21.cov15.raw.m15	   0.81	    3.04	   0.80	    3.06	    0.89	     3.10	
ashk.chr21.cov15.raw.m20	   0.94	    3.23	   0.77	    3.13	    0.88	     3.10	
ashk.chr21.cov15.rea.m15	   0.54	    1.31	   0.54	    1.31	    0.53	     1.30	
ashk.chr21.cov15.rea.m20	   0.54	    1.31	   0.53	    1.30	    0.53	     1.30	
ashk.chr21.cov20.raw.m15	   0.95	    2.06	   0.81	    1.84	    0.76	     2.07	
ashk.chr21.cov20.raw.m20	   0.89	    2.25	   0.75	    1.86	    0.76	     2.07	
ashk.chr21.cov20.rea.m15	   0.53	    1.58	   0.53	    1.58	    0.50	     1.18	
ashk.chr21.cov20.rea.m20	   0.53	    1.56	   0.53	    1.56	    0.53	     1.23	
ashk.chr21.cov25.raw.m15	   0.91	    2.57	   0.82	    2.52	    0.82	     2.60	
ashk.chr21.cov25.raw.m20	   0.83	    2.54	   0.85	    2.53	    0.87	     2.53	
ashk.chr21.cov25.rea.m15	   0.51	    1.22	   0.52	    1.27	    0.52	     1.24	
